registry_type,canonical_feature_name,semantic_definition,formula,source_fields,lookback,normalization,sign_convention,minimum_observations,filtered_series_contract,null_nonfinite_behavior,implementation_reference,master_spec_authority,promotion_version,promotion_status
FEATURE,Close_Tech,last split-only adjusted Close,last split-only adjusted Close,Close;Stock_Splits,latest valid observation after split normalization,as v0.54 canonical implementation,as formula,1,whole invalid bar excluded before split normalization,None only if no valid close; raw technical-validity mask excludes non-finite OHLC,scripts/feature_builder.py:split_adjust_technical/build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,EMA20,"Close_Tech.ewm(span=20,adjust=False,min_periods=20).mean().last","Close_Tech.ewm(span=20,adjust=False,min_periods=20).mean().last",Close;Stock_Splits,recursive EWM span=20,as v0.54 canonical implementation,as formula,20,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES,None before 20 valid observations; non-finite raw OHLC excluded by validity mask,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,EMA50,"Close_Tech.ewm(span=50,adjust=False,min_periods=50).mean().last","Close_Tech.ewm(span=50,adjust=False,min_periods=50).mean().last",Close;Stock_Splits,recursive EWM span=50,as v0.54 canonical implementation,as formula,50,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES,None before 50 valid observations; non-finite raw OHLC excluded by validity mask,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,SMA200,"Close_Tech.rolling(200,min_periods=200).mean().last","Close_Tech.rolling(200,min_periods=200).mean().last",Close;Stock_Splits,200 valid observations,as v0.54 canonical implementation,as formula,200,whole invalid bars excluded,None before 200 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,ATR14_Wilder_DEV,"TR=max(|H-L|,|H-prevClose|,|L-prevClose|); TR.ewm(alpha=1/14,adjust=False,min_periods=14).mean().last","TR=max(|H-L|,|H-prevClose|,|L-prevClose|); TR.ewm(alpha=1/14,adjust=False,min_periods=14).mean().last",High;Low;Close;Stock_Splits,recursive Wilder-style EWM alpha=1/14,as v0.54 canonical implementation,as formula,14,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES,None before 14 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,ATR14_Pct_DEV,ATR14_Wilder_DEV / Close_Tech,ATR14_Wilder_DEV / Close_Tech,High;Low;Close;Stock_Splits,inherits ATR14,as v0.54 canonical implementation,as formula,14,inherits filtered ATR/close,None if ATR or close unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,R5,Close_Tech[t] / Close_Tech[t-5] - 1,Close_Tech[t] / Close_Tech[t-5] - 1,Close;Stock_Splits,5 return intervals / 6 valid closes,as v0.54 canonical implementation,as formula,6,whole invalid bars excluded,None if <=5 observations or denominator zero; technical valid rows only,scripts/feature_builder.py:_last_return,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,R20,Close_Tech[t] / Close_Tech[t-20] - 1,Close_Tech[t] / Close_Tech[t-20] - 1,Close;Stock_Splits,20 return intervals / 21 valid closes,as v0.54 canonical implementation,as formula,21,whole invalid bars excluded,None if <=20 observations or denominator zero; technical valid rows only,scripts/feature_builder.py:_last_return,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,R60,Close_Tech[t] / Close_Tech[t-60] - 1,Close_Tech[t] / Close_Tech[t-60] - 1,Close;Stock_Splits,60 return intervals / 61 valid closes,as v0.54 canonical implementation,as formula,61,whole invalid bars excluded,None if <=60 observations or denominator zero; technical valid rows only,scripts/feature_builder.py:_last_return,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,High20,High_Tech rolling 20 max,High_Tech rolling 20 max,High;Stock_Splits,20 valid observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None before 20 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
