Request_Order,URL,Interaction,Allowed_Official_Source,Result,Used_For_Selection
1,https://www.spglobal.com/spdji/en/landing/topic/gics/,OPENED,YES,"GICS official overview; global four-tier structure, current sector definitions, annual review, official methodology/structure links.",YES
2,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-gics.pdf,OPENED,YES,"April 2026 GICS methodology; global classification, sector hierarchy/codes, maintenance/governance, permission/licensing notices.",YES
3,https://www.msci.com/indexes/index-resources/gics,OPENED,YES,"MSCI official GICS overview; globally applied four-tier standard, single classification per company, annual review.",YES
4,https://www.marketplace.spglobal.com/en/datasets/gics-%2890%29,OPENED,YES,"Official GICS dataset page; 50,000+ active public companies, 120+ countries, API/Cloud/Feed/SFTP delivery.",YES
5,https://www.spglobal.com/market-intelligence/en/solutions/differentiated-data,OPENED,YES,Official GICS Direct/History and cross-reference services; global company-level classification linking.,YES
6,https://dataexplorer.msci.com/ui/products,OPENED,YES,MSCI Data Explorer lists GICS Direct as security-level module; access is product/client based.,YES
7,https://developer.msci.com/apis/fileservice-msci-com,OPENED,YES,MSCI client file service supports programmatic file downloads using client credentials; confirms licensed-file delivery architecture.,YES
8,https://www.msci.com/documents/10199/5973a128-47f0-4317-b083-716a10207b50,SEARCH_RESULT_REVIEWED,YES,"Historical MSCI GICS FAQ describing GICS Direct coverage/licensing; retained only as historical corroboration, not current count authority.",NO_SUPPLEMENTARY
9,https://www.spglobal.com/spdji/en/disclaimers/,OPENED,YES,S&P DJI legal disclaimer; GICS proprietary; redistribution/reproduction restricted without written permission.,YES
10,https://www.spglobal.com/market-intelligence/en/legal/disclosures,OPENED,YES,S&P Global Market Intelligence citation/data policy; proprietary information and reproduction/distribution restrictions absent written consent.,YES
11,https://www.spglobal.com/spdji/en/documents/index-policies/index-data-capabilities-brochure.pdf,SEARCH_RESULT_REVIEWED,YES,"Official S&P index-data brochure; licensed data packages can include constituents, identifiers and GICS sector classifications.",NO_SUPPLEMENTARY
12,https://www.spglobal.com/spdji/en/governance/methodologies/,SEARCH_RESULT_REVIEWED,YES,Official methodology library exposes current/historical GICS structure and methodology.,NO_SUPPLEMENTARY
13,https://www.spglobal.com/spdji/en/governance/corporate-engagement/,SEARCH_RESULT_REVIEWED,YES,Official GICS classification review process and support route.,NO_SUPPLEMENTARY
14,https://www.spglobal.com/spdji/en/about-us/our-services/,SEARCH_RESULT_REVIEWED,YES,Official S&P data/index licensing overview; subscribers use index data under licensing arrangements.,NO_SUPPLEMENTARY
15,https://www.spglobal.com/spdji/en/landing/investment-themes/sectors/,SEARCH_RESULT_REVIEWED,YES,Supplementary official GICS sector usage page; not decisive for global bulk coverage.,NO_SUPPLEMENTARY
16,https://www.spglobal.com/spdji/en/landing/investment-themes/select-sector/,SEARCH_RESULT_REVIEWED,YES,Supplementary S&P sector-index page using GICS; not used for Frozen global coverage claim.,NO_SUPPLEMENTARY
17,https://www.spglobal.com/spdji/en/indices/equity/sp-500-industrials-sector/,SEARCH_RESULT_REVIEWED,YES,Supplementary S&P 500 GICS constituent evidence; not used to claim full Frozen coverage.,NO_SUPPLEMENTARY
18,https://www.spglobal.com/spdji/en/indices/equity/sp-500-materials-sector/,SEARCH_RESULT_REVIEWED,YES,Supplementary S&P 500 GICS constituent evidence; not used to claim full Frozen coverage.,NO_SUPPLEMENTARY
19,https://www.spglobal.com/spdji/en/indices/equity/sp-500-financials-sector/,SEARCH_RESULT_REVIEWED,YES,Supplementary S&P 500 GICS constituent evidence; not used to claim full Frozen coverage.,NO_SUPPLEMENTARY
20,https://www.spglobal.com/spdji/en/indices/equity/sp-global-1200-industrials-sector/,SEARCH_RESULT_REVIEWED,YES,Supplementary global S&P GICS index evidence; not sufficient for Frozen 1425 row-level proof.,NO_SUPPLEMENTARY
21,https://www.spglobal.com/spdji/en/indices/equity/sp-north-american-technology-sector-index/,SEARCH_RESULT_REVIEWED,YES,Supplementary GICS sector-index evidence; not decisive.,NO_SUPPLEMENTARY
22,https://www.lseg.com/en/ftse-russell/industry-classification-benchmark-icb,OPENED,YES,"Official ICB overview; governance, 11/20/45/173 hierarchy, global exchange adoption, source links.",YES
23,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/other/industry-classification-benchmark-product-overview-march-2020.pdf,OPENED,YES,"Official ICB product overview; ~85,000 securities, 80+ countries, 150 exchanges; weekly Universe files and daily updates; licensing/storage disclaimer.",YES
24,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/other/icb-taxonomy-overview-cut-sheet.pdf,OPENED,YES,Official ICB taxonomy overview with coded Industry/Supersector/Sector/Subsector hierarchy.,YES
25,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/icb-ground-rules.pdf,OPENED,YES,Official ICB Ground Rules v5.0 March 2026; classification governance and market coverage examples.,YES
26,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/other/ftse-icb-attribution.pdf,OPENED,YES,Official ICB attribution requirements; no further distribution without FTSE express written consent.,YES
27,https://www.lseg.com/en/ftse-russell/index-resources/attribution,OPENED,YES,Official FTSE Russell attribution hub linking ICB attribution and additional data terms.,YES
28,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/other/information-provider-additional-terms-march.pdf,OPENED,YES,"Official additional terms, updated March 2026; license-dependent data use and identifier-provider restrictions.",YES
