Segment_ID,Target_Index_Name,Current_Master_Rows,Current_Master_State_v0_28,Source_Gate_State_v0_28,Blocker_v0_28,Canonical_Source_Authority_v0_28,Notes_v0_28
EU_STOXX600,STOXX Europe 600,600,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
US_SP1500,S&P Composite 1500,0,NOT_IMPORTED_CURRENT_MASTER_R6,SOURCE_BLOCKED_FULL_EXPORT_LOGIN_REQUIRED,SOURCE_BLOCKED_FULL_EXPORT_LOGIN_REQUIRED,NOT_CANONICAL_NOT_IMPORTED,Official S&P public access does not provide a verified full S&P Composite 1500 constituent export; do not substitute Wikipedia or another third-party list.
CA_TSX,S&P/TSX Composite,217,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
MX_IPC,S&P/BMV IPC,0,NOT_IMPORTED_CURRENT_MASTER_R6,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_CANONICAL_NOT_IMPORTED,No current-master row is present. Official full-source materialization remains required; legacy/pre-master constituent evidence is not accepted as canonical substitute.
JP_N225,Nikkei 225,225,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
HK_HSI,Hang Seng Index,93,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
CN_CSI300,CSI 300,300,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
IN_NIFTY50,Nifty 50,50,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
KR_KOSPI200,KOSPI 200,0,NOT_IMPORTED_CURRENT_MASTER_R6,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_CANONICAL_NOT_IMPORTED,No current-master row is present. Official full-source materialization remains required; legacy/pre-master constituent evidence is not accepted as canonical substitute.
TW_TW50,FTSE TWSE Taiwan 50,50,IMPORTED_CURRENT_MASTER_R6,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,Present in the current 1535-row r6 clean-restart master. v0.28 does not silently infer missing source-registry evidence.
AU_ASX200,S&P/ASX 200,0,NOT_IMPORTED_CURRENT_MASTER_R6,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_CANONICAL_NOT_IMPORTED,No current-master row is present. Official full-source materialization remains required; legacy/pre-master constituent evidence is not accepted as canonical substitute.
NZ_NZX50,S&P/NZX 50,0,NOT_IMPORTED_CURRENT_MASTER_R6,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_CANONICAL_NOT_IMPORTED,No current-master row is present. Official full-source materialization remains required; legacy/pre-master constituent evidence is not accepted as canonical substitute.
BR_IBRX100,IBrX 100,0,NOT_IMPORTED_CURRENT_MASTER_R6,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_CANONICAL_NOT_IMPORTED,No current-master row is present. Official full-source materialization remains required; legacy/pre-master constituent evidence is not accepted as canonical substitute.
ZA_TOP40,FTSE/JSE Top 40,0,NOT_IMPORTED_CURRENT_MASTER_R6,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,NOT_CANONICAL_NOT_IMPORTED,No current-master row is present. Official full-source materialization remains required; legacy/pre-master constituent evidence is not accepted as canonical substitute.
