feature_family,master_requirement,master_reference,historical_v019_implementation,historical_formula,current_implementation_status,formula_ambiguity,window_ambiguity,normalization_ambiguity,required_source_fields,minimum_history,split_normalization,filtered_invalid_bar_behavior,contract_classification,promotion_status,binding_reason
EMA20_SLOPE,EMA20-Slope,Master §25 Trend,EMA20_Slope5_Pct,EMA20[t]/EMA20[t-5]-1,NOT_CURRENT_CANONICAL,YES,YES: Master gives no horizon,YES: absolute/percent/Close/EMA/ATR not fixed,Close;Stock_Splits,AMBIGUOUS beyond EMA20 availability,canonical split-only technical series required,whole invalid bar excluded,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,Master requires a slope but does not bind horizon or normalization; v0.19 5-session percentage formula is historical evidence only; v0.21 validates sign only.
EMA50_SLOPE,EMA50-Slope,Master §25 Trend,EMA50_Slope10_Pct,EMA50[t]/EMA50[t-10]-1,NOT_CURRENT_CANONICAL,YES,YES: Master gives no horizon,YES,Close;Stock_Splits,AMBIGUOUS beyond EMA50 availability,canonical split-only technical series required,whole invalid bar excluded,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,Master does not bind 10-session percentage slope; historical v0.19 cannot promote it by itself.
R1,R1 alongside R5/R20/R60,Master §25 Performance,none as output; shared n_return helper exists,"n_return(c,n)=c[t]/c[t-n]-1",R5/R20/R60 canonical family exists,NO after family binding,NO: n=1 valid observation,NO: decimal return,Close;Stock_Splits,2 valid observations,split-only Close_Tech,one prior VALID observation; excluded bar cannot be endpoint,CONTRACT_DERIVABLE,CANONICAL_IMPLEMENTED_PROMOTED,Master explicitly places R1 in the same Rn family as canonical R5/R20/R60; unique extension of the already-canonical n-return primitive is n=1.
TRUE_RANGE_CURRENT,True Range,Master §25 Volatilität,TrueRange_Current,"max(|H-L|,|H-prev valid Close|,|L-prev valid Close|)",primitive already computed inside canonical ATR14 path,NO,NO: current valid bar + previous valid close,NO: native price units,High;Low;Close;Stock_Splits,1 valid observation (first-bar TR reduces to H-L),split-only technical H/L/C,previous observation means previous VALID observation,CONTRACT_DERIVABLE,CANONICAL_IMPLEMENTED_PROMOTED,"Canonical ATR14 already computes the exact TR primitive; Master separately requires True Range, so exposing the current value reuses the existing single source of truth."
RANGE_COMPRESSION_FAMILY,kurzfristige Range; Range-/Compression-Maße,Master §25 Volatilität/Struktur; v0.21 shadow relation Range5<Range20 and TRMean5<TRMean20,Range5_Pct;Range10_Pct;Range20_Pct;Range5_to_Range20;TR_Mean5;TR_Mean20;TR_Mean5_to_20,rolling high-low/current close; TR means and ratios,Range20_Pct only canonical,YES: exact required member set not fixed,YES: v0.21 validates 5-vs-20 relation but Master does not define complete family,YES: relation survives absolute vs pct scaling,High;Low;Close;Stock_Splits,AMBIGUOUS by member,canonical split-only series,whole invalid bar excluded,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,Current shadow relation does not uniquely bind a canonical feature set or normalization.
RELATIVE_VOLUME_METRICS,relative Volumenmetriken; later RVOL reference,Master §25 Volumen and §30 Lane 1,RVOL20_Current,current Volume_Tech / preceding 20-valid-session median Volume_Tech,MedianVolume20_Tech canonical; relative metric not canonical,YES: numerator/baseline family not fully specified,YES: Master does not bind 20-median baseline,YES: volume vs turnover alternatives,Volume;Stock_Splits (possibly Close for turnover),AMBIGUOUS,split-only Volume_Tech where volume-based,whole invalid bar excluded,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,"Master names RVOL concept but does not define mean/median, lookback, or current inclusion; v0.19 is historical evidence only."
GAP_OVER_ATR,Gap/ATR,Master §25 Impuls,Gap_Pct only; no canonical Gap/ATR,Gap_Pct=Open[t]/Close[t-1]-1,NOT_IMPLEMENTED,YES: signed/absolute gap and units not fixed,ATR t vs t-1 unspecified,YES,Open;Close;High;Low;Stock_Splits,AMBIGUOUS,canonical split-only series,previous means previous valid observation if later defined,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,Master does not specify gap numerator or ATR denominator timing; same-bar denominator leakage cannot be guessed.
DAILY_MOVE_IN_ATR,Tagesbewegung in ATR,Master §25 Impuls,TrueRange_ATR14_Ratio candidate only,current TR/current ATR14 in v0.19,NOT_CURRENT_CANONICAL,"YES: close-close, high-low, open-close, or TR not fixed",ATR timing unspecified,YES: signed/absolute and denominator timing,Open;High;Low;Close;Stock_Splits,AMBIGUOUS,canonical split-only series,whole invalid bar excluded,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,Feature name alone does not identify numerator or ATR reference point.
RECENT_IMPULSE_DESCRIPTORS,jüngere Impulse,Master §25 Impuls; §30 Post-Event Drift concept,Impulse_Return20_Max;Impulse_Days_Ago;PostImpulse_Min_vs_ImpulseClose;PostImpulse_Latest_vs_ImpulseClose;PostImpulse_Range_Pct,strongest positive daily return in trailing 20 valid observations plus post-impulse descriptors,NOT_CURRENT_CANONICAL,YES,YES,YES,Close;High;Low;Stock_Splits; possibly Volume/ATR depending definition,AMBIGUOUS,canonical split-only series,whole invalid bar excluded,CONTRACT_AMBIGUOUS,BLOCKED_NOT_IMPLEMENTED,"Master specifies the concept, not the impulse identification formula, lookback, directionality, or post-impulse window."
RUNUP_5_20_60_SEMANTICS,Run-up 5/20/60T,Master §25 Impuls plus §33 RUN-UP-KLASSIFIKATION: '5-/20-/60-Tage-Performance' and 20/60-day warning values,R5;R20;R60 already present,Close_Tech[t]/Close_Tech[t-n]-1,R5/R20/R60 already canonical,NO after §33 binding,NO: 5/20/60 valid observations,NO: existing decimal performance return,Close;Stock_Splits,6/21/61 valid observations,split-only Close_Tech,whole invalid bar excluded,CONTRACT_DERIVABLE,CANONICAL_SEMANTIC_BINDING_PROMOTED_NO_NEW_COLUMN,The Run-up classification explicitly requires 5/20/60-day performance; this uniquely maps to already-canonical R5/R20/R60 without duplicate aliases.
