WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XASX:BHP,BHP GROUP LTD,AU000000BHP4,COMMON_STOCK,Australia,BHP,ASX,XASX,AUD,BHP.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:CBA,COMMONWEALTH BANK OF AUSTRALIA,AU000000CBA7,COMMON_STOCK,Australia,CBA,ASX,XASX,AUD,CBA.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:NAB,NATIONAL AUSTRALIA BANK LTD,AU000000NAB4,COMMON_STOCK,Australia,NAB,ASX,XASX,AUD,NAB.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:WBC,WESTPAC BANKING CORPORATION,AU000000WBC1,COMMON_STOCK,Australia,WBC,ASX,XASX,AUD,WBC.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ANZ,ANZ GROUP HOLDINGS LTD,AU000000ANZ3,COMMON_STOCK,Australia,ANZ,ASX,XASX,AUD,ANZ.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:MQG,MACQUARIE GROUP LTD DEF,AU000000MQG1,COMMON_STOCK,Australia,MQG,ASX,XASX,AUD,MQG.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:WES,WESFARMERS,AU000000WES1,COMMON_STOCK,Australia,WES,ASX,XASX,AUD,WES.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:CSL,CSL,AU000000CSL8,COMMON_STOCK,Australia,CSL,ASX,XASX,AUD,CSL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:RIO,RIO TINTO LTD,AU000000RIO1,COMMON_STOCK,Australia,RIO,ASX,XASX,AUD,RIO.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:WDS,WOODSIDE ENERGY GROUP LTD,AU0000224040,COMMON_STOCK,Australia,WDS,ASX,XASX,AUD,WDS.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:TLS,TELSTRA GROUP,AU000000TLS2,COMMON_STOCK,Australia,TLS,ASX,XASX,AUD,TLS.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
