feature_name,feature_family,required_raw_fields,formula,implementation_reference,lookback,minimum_valid_observations,lookback_semantics,null_behavior,finite_handling,filtered_series_behavior
Close_Tech,PRICE,Close;Stock_Splits,last split-only adjusted Close,scripts/feature_builder.py:split_adjust_technical/build_features,latest valid observation after split normalization,1,FINITE,None only if no valid close,raw technical-validity mask excludes non-finite OHLC,whole invalid bar excluded before split normalization
EMA20,TREND,Close;Stock_Splits,"Close_Tech.ewm(span=20,adjust=False,min_periods=20).mean().last",scripts/feature_builder.py:build_features,recursive EWM span=20,20,RECURSIVE_INFINITE_HISTORY_DEPENDENCE,None before 20 valid observations,non-finite raw OHLC excluded by validity mask,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
EMA50,TREND,Close;Stock_Splits,"Close_Tech.ewm(span=50,adjust=False,min_periods=50).mean().last",scripts/feature_builder.py:build_features,recursive EWM span=50,50,RECURSIVE_INFINITE_HISTORY_DEPENDENCE,None before 50 valid observations,non-finite raw OHLC excluded by validity mask,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
SMA200,TREND,Close;Stock_Splits,"Close_Tech.rolling(200,min_periods=200).mean().last",scripts/feature_builder.py:build_features,200 valid observations,200,FINITE,None before 200 valid observations,technical valid rows only,whole invalid bars excluded
ATR14_Wilder_DEV,VOLATILITY,High;Low;Close;Stock_Splits,"TR=max(|H-L|,|H-prevClose|,|L-prevClose|); TR.ewm(alpha=1/14,adjust=False,min_periods=14).mean().last",scripts/feature_builder.py:build_features,recursive Wilder-style EWM alpha=1/14,14,RECURSIVE_INFINITE_HISTORY_DEPENDENCE,None before 14 valid observations,technical valid rows only,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
ATR14_Pct_DEV,VOLATILITY,High;Low;Close;Stock_Splits,ATR14_Wilder_DEV / Close_Tech,scripts/feature_builder.py:build_features,inherits ATR14,14,RECURSIVE_DERIVED,None if ATR or close unavailable/zero,audited post-computation,inherits filtered ATR/close
R5,PERFORMANCE,Close;Stock_Splits,Close_Tech[t] / Close_Tech[t-5] - 1,scripts/feature_builder.py:_last_return,5 return intervals / 6 valid closes,6,FINITE,None if <=5 observations or denominator zero,technical valid rows only,whole invalid bars excluded
R20,PERFORMANCE,Close;Stock_Splits,Close_Tech[t] / Close_Tech[t-20] - 1,scripts/feature_builder.py:_last_return,20 return intervals / 21 valid closes,21,FINITE,None if <=20 observations or denominator zero,technical valid rows only,whole invalid bars excluded
R60,PERFORMANCE,Close;Stock_Splits,Close_Tech[t] / Close_Tech[t-60] - 1,scripts/feature_builder.py:_last_return,60 return intervals / 61 valid closes,61,FINITE,None if <=60 observations or denominator zero,technical valid rows only,whole invalid bars excluded
High20,STRUCTURE,High;Stock_Splits,High_Tech rolling 20 max,scripts/feature_builder.py:build_features,20 valid observations,20,FINITE,None before 20 valid observations,technical valid rows only,whole invalid bars excluded
High60,STRUCTURE,High;Stock_Splits,High_Tech rolling 60 max,scripts/feature_builder.py:build_features,60 valid observations,60,FINITE,None before 60 valid observations,technical valid rows only,whole invalid bars excluded
High252,STRUCTURE,High;Stock_Splits,High_Tech rolling 252 max,scripts/feature_builder.py:build_features,252 valid observations,252,FINITE,None before 252 valid observations,technical valid rows only,whole invalid bars excluded
Low20,STRUCTURE,Low;Stock_Splits,Low_Tech rolling 20 min,scripts/feature_builder.py:build_features,20 valid observations,20,FINITE,None before 20 valid observations,technical valid rows only,whole invalid bars excluded
Low60,STRUCTURE,Low;Stock_Splits,Low_Tech rolling 60 min,scripts/feature_builder.py:build_features,60 valid observations,60,FINITE,None before 60 valid observations,technical valid rows only,whole invalid bars excluded
Dist_EMA20,STRUCTURE,Close;Stock_Splits,Close_Tech / EMA20 - 1,scripts/feature_builder.py:build_features,inherits EMA20,20,RECURSIVE_DERIVED,None if close/EMA unavailable/zero,audited post-computation,inherits filtered EMA20
Dist_EMA50,STRUCTURE,Close;Stock_Splits,Close_Tech / EMA50 - 1,scripts/feature_builder.py:build_features,inherits EMA50,50,RECURSIVE_DERIVED,None if close/EMA unavailable/zero,audited post-computation,inherits filtered EMA50
Dist_SMA200,STRUCTURE,Close;Stock_Splits,Close_Tech / SMA200 - 1,scripts/feature_builder.py:build_features,200 valid observations,200,FINITE_DERIVED,None if close/SMA unavailable/zero,audited post-computation,whole invalid bars excluded
Dist_High252,STRUCTURE,High;Close;Stock_Splits,Close_Tech / High252 - 1,scripts/feature_builder.py:build_features,252 valid observations,252,FINITE_DERIVED,None if close/high unavailable/zero,audited post-computation,whole invalid bars excluded
Range20_Pct,RANGE,High;Low;Close;Stock_Splits,(High20-Low20)/Close_Tech,scripts/feature_builder.py:build_features,20 valid observations,20,FINITE,None if inputs unavailable/close zero,audited post-computation,whole invalid bars excluded
MedianVolume20_Tech,VOLUME,Volume;Stock_Splits,median(last 20 Volume_Tech),scripts/feature_builder.py:build_features,20 non-null valid volume observations,20,FINITE,None if fewer than 20 non-null volume observations,negative non-null volume invalidates raw bar; non-finite result audited,whole invalid bars excluded
MedianTurnover20_Native,VOLUME,Close;Volume;Stock_Splits,median(last 20 Close_Tech*Volume_Tech),scripts/feature_builder.py:build_features,20 non-null valid turnover observations,20,FINITE,None if fewer than 20 non-null turnover observations,post-computation finite audit,whole invalid bars excluded
