Scope,Metric,Expected,Actual,Status,Detail
FROZEN,Members,1425,1425,PASS,unchanged
RUNTIME,States,1425,1425,PASS,source and refrozen
RUNTIME,Price_Rows,711204,711204,PASS,source and refrozen
RUNTIME,READY,1415,1415,PASS,exact identity set unchanged
RUNTIME,QUARANTINE,10,10,PASS,exact identity set unchanged
READY_BASELINE,Missing,0,0,PASS,
READY_BASELINE,Unexpected,0,0,PASS,
STATE_FIELDS,Mismatches,0,0,PASS,provider status reason row counts valid bars last session fetch timestamp
EXACT10,Identity_Provider_Blocker_Changes,0,0,PASS,all ten unchanged
EXACT10,WS:XASX:ANZ,ANZ.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,ANZ.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:BSL,BSL.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,BSL.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:BXB,BXB.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,BXB.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:CBA,CBA.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,CBA.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:NXT,NXT.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,NXT.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:PME,PME.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PME.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:QAN,QAN.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,QAN.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XASX:SDF,SDF.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,SDF.AX|QUARANTINE|STRICT_OHLC_RELATION_FAIL,PASS,
EXACT10,WS:XNAS:ECHO,ECHO|QUARANTINE|SUSPICIOUS_RETURN_NEEDS_REPAIR,ECHO|QUARANTINE|SUSPICIOUS_RETURN_NEEDS_REPAIR,PASS,
EXACT10,WS:XNAS:MRNA,MRNA|QUARANTINE|SUSPICIOUS_RETURN_NEEDS_REPAIR,MRNA|QUARANTINE|SUSPICIOUS_RETURN_NEEDS_REPAIR,PASS,
