Priority,Workstream,Primary_Universe_Index,Rows,Current_State,Next_Action,Rule_Weakening
P1,INSTRUMENT_EVIDENCE,EU_STOXX600,365,OFFICIAL_BULK_SECURITY_TYPE_ROUTE_REQUIRED,Probe official primary-exchange bulk security reference by MIC; require deterministic security type/class or CFI semantics,False
P1,INSTRUMENT_EVIDENCE,HK_HSI,82,FROZEN_HKEX_BULK_REFERENCE_MATCHED_SEMANTICS_NOT_PROMOTED,Validate official HKEX Category/Sub-Category semantics for strict common/ordinary-share classification; no new member lookup required if frozen evidence remains accepted,False
P2,INSTRUMENT_EVIDENCE,CA_TSX,105,OFFICIAL_SEMANTICS_VALIDATION_BLOCKED,Materialize auditable TMX/S&P-TSX security-type semantics or another official bulk security reference; no blanket index PASS,False
P2,INSTRUMENT_EVIDENCE,KR_KOSPI200,92,OFFICIAL_KRX_BULK_TRANSPORT_BLOCKED,Resolve current official KRX bulk transport/request shape and verify security-kind fields in one bounded bulk request,False
P2,DATA_REMEDIATION,US_SP1500,26,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,ZA_TOP40,9,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,EU_STOXX600,8,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,AU_ASX200,5,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,BR_IBRX100,2,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,CA_TSX,2,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,CN_CSI300,1,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,KR_KOSPI200,1,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P2,DATA_REMEDIATION,NZ_NZX50,1,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False
P3,INSTRUMENT_EVIDENCE,MX_IPC,6,OFFICIAL_BULK_SECURITY_TYPE_ROUTE_REQUIRED,Find official BMV bulk/reference security-type evidence or exact official security-class field for the six frozen rows,False
P3,DATA_REMEDIATION,AU_ASX200,3,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False
P3,DATA_REMEDIATION,CN_CSI300,1,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False
P3,DATA_REMEDIATION,KR_KOSPI200,1,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False
