WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XAMS:AEGN.AS,Aegon Ltd.,,XAMS,,AEGN.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AEGN.AS,AEGN.AS,AGN.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,,https://uk.finance.yahoo.com/quote/AGN.AS/,,Yahoo Finance confirms Aegon Ltd. under AGN.AS; frozen source AEGN.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,AGN,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:AKZO.AS,AkzoNobel N.V.,,XAMS,,AKZO.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AKZO.AS,AKZO.AS,AKZA.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,,https://uk.finance.yahoo.com/quote/AKZA.AS/,,Yahoo Finance confirms AkzoNobel N.V. under AKZA.AS; frozen source AKZO.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,AKZA,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:ASMI.AS,ASM International N.V.,,XAMS,,ASMI.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ASMI.AS,ASMI.AS,ASM.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,,https://finance.yahoo.com/quote/ASM.AS/,,Yahoo Finance confirms ASM International N.V. under ASM.AS; frozen source ASMI.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,ASM,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:BAMN.AS,Koninklijke BAM Groep N.V.,,XAMS,,BAMN.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BAMN.AS,BAMN.AS,BAMNB.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://live.euronext.com/en/product/equities/NL0000337319-XAMS,https://uk.finance.yahoo.com/quote/BAMNB.AS/,,Yahoo Finance confirms Koninklijke BAM Groep N.V. under BAMNB.AS; frozen source BAMN.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,BAMNB,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:EXOR.AS,Exor N.V.,,XAMS,,EXOR.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,EXOR.AS,EXOR.AS,EXO.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://live.euronext.com/en/product/equities/NL0012059018-XAMS,https://uk.finance.yahoo.com/quote/EXO.AS/,,Yahoo Finance confirms Exor N.V. under EXO.AS; frozen source EXOR.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,EXO,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:MICCT.AS,IMCD N.V.,,XAMS,,MICCT.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,MICCT.AS,MICCT.AS,IMCD.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,,https://finance.yahoo.com/quote/IMCD.AS/,,Yahoo Finance confirms IMCD N.V. under IMCD.AS; frozen source MICCT.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,IMCD,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:PHG.AS,Koninklijke Philips N.V.,,XAMS,,PHG.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,PHG.AS,PHG.AS,PHIA.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://live.euronext.com/en/product/equities/NL0000009538-XAMS,https://uk.finance.yahoo.com/quote/PHIA.AS/,,Yahoo Finance confirms Koninklijke Philips N.V. under PHIA.AS; frozen source PHG.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,PHIA,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:SHEL.AS,Shell plc,,XAMS,,SHEL.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,SHEL.AS,SHEL.AS,SHELL.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,,https://uk.finance.yahoo.com/quote/SHELL.AS/,,Yahoo Finance confirms Shell plc under SHELL.AS; frozen source SHEL.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,SHELL,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XAMS:VOPA.AS,Koninklijke Vopak N.V.,,XAMS,,VOPA.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,VOPA.AS,VOPA.AS,VPK.AS,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,,https://uk.finance.yahoo.com/quote/VPK.AS/,,Yahoo Finance confirms Koninklijke Vopak N.V. under VPK.AS; frozen source VOPA.AS requires primary ISIN/share-class verification in Phase B.,2026-09-03T08:56:00.341962+00:00,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,VPK,ordinary/common equity; primary chain requires verification,RESEARCHED
WS:XBRU:AGES.BR,ageas SA/NV,,XBRU,,AGES.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AGES.BR,AGES.BR,AGS.BR,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://live.euronext.com/en/product/equities/BE0000120404-XBRU,https://uk.finance.yahoo.com/quote/AGS.BR/,,Current Yahoo quote identifies ageas SA/NV as AGS.BR; frozen source AGES.BR. Primary ISIN/instrument chain requires controlled verification before mapping.,2026-09-03T09:24:30.484136+00:00,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,AGS,ordinary/common equity; verify instrument chain,RESEARCHED
