Security_Key,Source_WS_ID,Provider_Symbol,Initial_Blocker,Classification,Verdict,Runtime_Status_After,Evidence_Basis
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,ANZ.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:BSL,WS:XASX:BSL,BSL.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:BXB,WS:XASX:BXB,BXB.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:CBA,WS:XASX:CBA,CBA.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:NXT,WS:XASX:NXT,NXT.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:PME,WS:XASX:PME,PME.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:QAN,WS:XASX:QAN,QAN.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XASX:SDF,WS:XASX:SDF,SDF.AX,STRICT_OHLC_RELATION_FAIL,OTHER_EVIDENCED,PROVIDER_DATA_UNRESOLVED,QUARANTINE,Raw OHLCV reproduced exactly on normal provider refetch; strict relation still fails; repair refetch returned no data; no corporate action; no authoritative replacement row.
WSSEC:WS:XNAS:ECHO,WS:XNAS:ECHO,ECHO,SUSPICIOUS_RETURN_NEEDS_REPAIR,GENUINE_MARKET_MOVE,LEGITIMATE_EVENT_READY,READY,Persisted and provider-refetched OHLCV identical; no split/dividend; 70.2476585% move with 46.6M volume; issuer announced ~$23B AT&T spectrum transaction on event date.
WSSEC:WS:XNAS:MRNA,WS:XNAS:MRNA,MRNA,SUSPICIOUS_RETURN_NEEDS_REPAIR,GENUINE_MARKET_MOVE,LEGITIMATE_EVENT_READY,READY,Persisted and provider-refetched OHLCV identical; no split/dividend; 176.9695162% move with 199.3M volume; issuer announced positive Phase 3 melanoma results on event date.
