Feature_or_Lane,Required_Fields,Implementation_Lookback,Current_2024_11_15_Participation,Impact_Classification,Reason,Decision_Parameter_Status
R5/R20/R60,Close,5/20/60 valid observations,NO; 467 raw observations follow anomaly,NOT_AFFECTED,Anomaly is outside all implemented return windows; invalid row is excluded before return calculation.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
Max/Min Daily Return 5/20; ReturnStd5/20; Impulse20/PostImpulse,Close; PostImpulse range also High/Low,5/20 valid observations,NO,NOT_AFFECTED,Finite windows are far shorter than 467 subsequent observations.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
High20/High60/High252; Low20/Low60; Dist_High252,High/Low/Close,20/60/252 valid observations,NO,NOT_AFFECTED,467 subsequent raw observations place the excluded anomaly outside the maximum 252-observation finite range window.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
Range5/10/20; RecentLow10/PriorLow10,High/Low/Close,5/10/20 valid observations,NO,NOT_AFFECTED,Finite windows exclude the anomaly.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
SMA200,Close,200 valid observations,NO,NOT_AFFECTED,Anomaly is outside current 200-observation rolling window.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
MedianVolume20; MedianTurnover20; RVOL20_Current; Max_Volume_PrecedingMedian20_20,Volume; Close for turnover,20 observations plus current,NO,NOT_AFFECTED,Current finite volume windows do not include 2024-11-15. This does not validate the historical PME volume value.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
Current Range; Close Location; Gap; TrueRange_Current,Current/previous Open/High/Low/Close,Current and previous valid observation,NO,NOT_AFFECTED,"Current bar context is 2026-09-22, not the historical anomaly.",IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
EMA20,Close,Recursive EWM span=20; no finite cutoff,INDIRECT; invalid row omitted from recursive valid-row sequence,WINDOW_AFFECTED,Whole-row exclusion changes the recursive history sequence; effect decays but is mathematically non-zero. Age alone is not treated as data validation.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
EMA50,Close,Recursive EWM span=50; no finite cutoff,INDIRECT,WINDOW_AFFECTED,Recursive series retains a decaying dependency on the filtered-history sequence.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
ATR14_Wilder_DEV,High/Low/Close and previous valid Close,Recursive EWM alpha=1/14; no finite cutoff,INDIRECT,WINDOW_AFFECTED,Removing the malformed bar also bridges true-range adjacency across that session; recursive ATR retains decaying history dependence.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
EMA-derived distances/slopes/streaks/cross-age,Close + EMA20/EMA50,Recursive EMA plus local comparisons; cross-age may scan prior series,INDIRECT,WINDOW_AFFECTED,Underlying EMA sequence is history-dependent even though current finite comparison windows are recent.,IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
ATR-derived distances/ratios/Max_TR_Preceding_ATR14_20,High/Low/Close + ATR,Recursive ATR plus recent 20 observations,INDIRECT,WINDOW_AFFECTED,"Recent raw TR values exclude anomaly, but ATR denominator is recursive.",IMPLEMENTED_DESCRIPTOR; NOT_PROMOTED_P0_RULE
Home-market RS20/RS60 historical architecture,R20/R60 plus Primary_Universe_Index cohort reference,20/60 in historical v0.20 architecture,NO in historical implementation; current Frozen RS not materialized,UNKNOWN,"Date is outside historical finite RS windows, but current Frozen-1425 Home-Market RS is NOT_VERIFIED by v0.44.",NOT_PROMOTED_CURRENT_FROZEN
Sector RS,Sector metadata + sector returns,NOT CURRENTLY READY,NOT ESTABLISHED,UNKNOWN,Sector metadata/RS remains not verified for Frozen-1425.,NOT_PROMOTED_CURRENT_FROZEN
Lane BREAKOUT_COMPRESSION_VCP,High20/60/252; ranges; TR metrics; RVOL20; ATR-derived max TR,Mixed finite <=252 plus recursive ATR dependency,INDIRECT via ATR-derived component,WINDOW_AFFECTED,Finite components exclude anomaly; recursive ATR-derived component preserves filtered-history dependence.,AUTOMATED_P0_DECISION_NOT_ALLOWED
Lane PULLBACK_RETEST,EMA20/50; SMA200; EMA distances; recent lows; ATR distance,Mixed finite + recursive EMA/ATR,INDIRECT,WINDOW_AFFECTED,Recursive EMA/ATR components depend on filtered-history sequence.,AUTOMATED_P0_DECISION_NOT_ALLOWED
Lane RECLAIM,EMA20/50 cross/streak descriptors; recent lows,Recursive EMA + event-age descriptors,INDIRECT,WINDOW_AFFECTED,EMA series is recursive.,AUTOMATED_P0_DECISION_NOT_ALLOWED
Lane QUIET_STRENGTH_RELATIVE_STRENGTH,R20/R60; EMA slopes; range/TR compression; HomeMarket RS,Finite 20/60 plus recursive EMA/TR-derived descriptors,MIXED,WINDOW_AFFECTED,Finite returns exclude anomaly; EMA/TR-derived components retain filtered-history dependence; current Frozen RS also not verified.,AUTOMATED_P0_DECISION_NOT_ALLOWED
Lane POST_EVENT_DRIFT,20-day impulse/post-impulse close/range + RVOL20,20 valid observations,NO,NOT_AFFECTED,Implemented descriptive inputs are finite 20-observation/current-volume constructs.,AUTOMATED_P0_DECISION_NOT_ALLOWED
Lane CONTROLLED_MEAN_REVERSION,ATR distances; ReturnStd5/20; EMA slopes,Finite returns plus recursive EMA/ATR,INDIRECT,WINDOW_AFFECTED,ATR/EMA components depend on filtered-history sequence.,AUTOMATED_P0_DECISION_NOT_ALLOWED
