Source_Snapshot_Date,Population_Name,Population_Source,Source_Rank,Source_Security_Name,Source_Ticker,Source_Identifier,Source_Weight,Source_Sector,Source_Country,Discovery_Status,Discovery_Notes
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Allied Gold Corporation,AAUC,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Advantage Energy Ltd.,AAV,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,AbraSilver Resource Corp.,ABRA,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Barrick Mining Corporation,ABX,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Air Canada Voting and Variable Voting Shares,AC,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,ATCO Ltd. Class I Non-voting Shares,ACO.X,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Agnico Eagle Mines Limited,AEM,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,First Majestic Silver Corp.,AG,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Alamos Gold Inc.,AGI,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
2026-08-22,S&P/TSX Composite,SRC_TMX_TSX_COMPOSITE / pre-existing official TMX-S&P lineage snapshot,R1,Altus Group Limited,AIF,,,,Canada,OFFICIAL_LINEAGE_SNAPSHOT_PARTIAL,"Official lineage snapshot is reproducible, but current full S&P constituent export was not exposed; no new membership added."
