Segment_ID,Target_Index_Name,Rows,Source_IDs_In_Master,Source_AsOf_Populated_Rows,Last_Validated_Populated_Rows,v0_28_Source_Authority_State,v0_28_Source_Gate_State,v0_28_Action
EU_STOXX600,STOXX Europe 600,600,SRC_STOXX_SXXP_SLPUBLIC,600,600,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
US_SP1500,S&P Composite 1500,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,SOURCE_BLOCKED_FULL_EXPORT_LOGIN_REQUIRED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
CA_TSX,S&P/TSX Composite,217,SRC_TMX_TSX_COMPOSITE,0,217,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
MX_IPC,S&P/BMV IPC,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
JP_N225,Nikkei 225,225,SRC_NIKKEI225,225,225,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
HK_HSI,Hang Seng Index,93,SRC_HSI,0,93,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
CN_CSI300,CSI 300,300,SRC_CSI300,300,300,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
IN_NIFTY50,Nifty 50,50,SRC_NIFTY50,0,50,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
KR_KOSPI200,KOSPI 200,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
TW_TW50,FTSE TWSE Taiwan 50,50,SRC_FTSE_TW50_CW_20260630,50,50,CURRENT_MASTER_LINEAGE_IMPORTED_BUT_SOURCE_EVIDENCE_AUDIT_REQUIRED,IMPORTED_PENDING_EXPLICIT_SOURCE_EVIDENCE_FREEZE_AUDIT,FREEZE_AND_AUDIT_OFFICIAL_SOURCE_PROVENANCE
AU_ASX200,S&P/ASX 200,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
NZ_NZX50,S&P/NZX 50,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
BR_IBRX100,IBrX 100,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
ZA_TOP40,FTSE/JSE Top 40,0,,0,0,NOT_CANONICAL_NOT_IMPORTED,NOT_IMPORTED_OFFICIAL_FULL_SOURCE_NOT_MATERIALIZED,MATERIALIZE_OFFICIAL_FULL_CONSTITUENT_SOURCE
