WS_ID,Name,Primary_Universe_Index,Original_Status,Original_Reason,Event_Count,Max_Abs_Return,Any_Split_Nearby,Event_Classification,Event_Action,Event_Evidence_URL,Event_Evidence_Note
WS:XASX:MSB,Mesoblast,AU_ASX200,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.54040400148253,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:XASX:TUA,Tuas,AU_ASX200,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.6278688497679171,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:BVMF:NATU3,NATU3,BR_IBRX100,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.7235485780886939,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:XTSE:IAU,i-80 Gold Corp.,CA_TSX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5793650988878909,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:XTSE:LAC,Lithium Americas Corp.,CA_TSX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.978673174552578,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:XLON:ROR.L,ROTORK,EU_STOXX600,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.6678129998591658,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:XPAR:ABVX.PA,ABIVAX,EU_STOXX600,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,5.101123771287029,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:XNZE:THL,Tourism Holdings Limited,NZ_NZX50,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5753423919326994,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:AAP,"Advance Auto Parts, Inc.",US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5704247527193425,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:CORT,Corcept Therapeutics Incorporated,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,2,1.090792586262049,False,MULTI_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Multiple >50% close-to-close moves; no automatic normalization.
