Security_Key,Source_WS_ID,Provider_Symbol,Existing_Blocker,Reconciliation_Status,External_Evidence_Used,Provider_Refetch_Used,Conclusion
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,ANZ.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:BSL,WS:XASX:BSL,BSL.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:BXB,WS:XASX:BXB,BXB.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:CBA,WS:XASX:CBA,CBA.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:NXT,WS:XASX:NXT,NXT.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:PME,WS:XASX:PME,PME.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:QAN,WS:XASX:QAN,QAN.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XASX:SDF,WS:XASX:SDF,SDF.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XNAS:ECHO,WS:XNAS:ECHO,ECHO,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
WSSEC:WS:XNAS:MRNA,WS:XNAS:MRNA,MRNA,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_AUTHORITY_INTEGRITY_FAILURE,NO,NO,Authority runtime SQLite bytes do not match the v0.45 declared SHA-256; anomaly-level remediation was not permitted to proceed.
