WS_ID,Name,Action,Yahoo_Symbol_Before,Yahoo_Symbol_After,Remediation_Status,Effective_Date,Evidence_URL,Provider_Evidence_URL,Evidence_Note
WS:XASX:IFL,Insignia Financial,EXCLUDE_INACTIVE,IFL.AX,IFL.AX,DELISTED_ACQUIRED,2026-04-29,https://www.asx.com.au/asx/v2/statistics/announcements.do?asxCode=IFL&by=asxCode&timeframe=Y&year=2026,,ASX reports Insignia Financial removed from the official list on 29 Apr 2026 after scheme implementation.
WS:XASX:NSR,National Storage REIT,EXCLUDE_INACTIVE,NSR.AX,NSR.AX,DELISTED_ACQUIRED,2026-05-12,https://www.asx.com.au/asx/v2/statistics/announcements.do?by=issuerId&issuerId=8068&timeframe=Y&year=2026,,ASX reports National Storage REIT removed from the official list on 12 May 2026 after implementation of the schemes.
WS:XASX:XYX,"Block, Inc.",REMAP_ACTIVE,XYX.AX,XYZ.AX,SOURCE_TICKER_CORRECTED,2025-01-22,https://www.asx.com.au/markets/market-resources/asx-codes-and-descriptors/asx-code-changes,https://uk.finance.yahoo.com/quote/XYZ.AX/,ASX code table records Block code change to XYZ; provider exposes the ASX listing as XYZ.AX.
WS:XMEX:ALFAA,Sigma Foods (formerly ALFA),REMAP_ACTIVE,ALFAA.MX,SIGMAFA.MX,ISSUER_NAME_AND_TICKER_CHANGE,2025-12-17,https://bmv.com.mx/en/issuers/maintenanceinformation/ALFA-5052-CGEN_CAPIT,https://es.finance.yahoo.com/quote/SIGMAFA.MX/,BMV records ticker change ALFA to SIGMAF effective 17 Dec 2025 after issuer name change; provider symbol is SIGMAFA.MX.
WS:XMEX:ELEKTRA,Grupo Elektra,EXCLUDE_INACTIVE,ELEKTRA.MX,ELEKTRA.MX,LISTING_REGISTRATION_CANCELLED,2026-04-23,https://www.grupoelektra.com.mx/es/historia-de-la-accion,,Issuer history states the registration of the ELEKTRA shares in the Mexican National Securities Registry was cancelled in April 2026.
WS:XNZE:ARV,Arvida Group Limited,EXCLUDE_INACTIVE,ARV.NZ,ARV.NZ,EQUITY_DELISTED_ACQUIRED,2024-11-20,https://www.nzx.com/announcements/442214,,NZX scheme implementation: Arvida equity ceased quotation following acquisition by Stonepeak.
WS:XNZE:GMT,Goodman NZ (formerly Goodman Property Trust),REMAP_ACTIVE,GMT.NZ,GNZ.NZ,CORPORATE_ACTION_SUCCESSOR_SAME_ISIN,2026-04-07,https://www.nzx.com/announcements/469920,https://nz.finance.yahoo.com/quote/GNZ.NZ/,NZX confirms completion of the corporatised/stapled Goodman NZ structure and ticker GNZ; the security identity was carried through the transaction.
WS:XNZE:MNW,Manawa Energy Limited,EXCLUDE_INACTIVE,MNW.NZ,MNW.NZ,EQUITY_DELISTED_ACQUIRED,2025-07-11,https://www.nzx.com/announcements/454513,,NZX advised Manawa equity would cease quotation following the Contact Energy scheme.
WS:US:CWEN.A,"Clearway Energy, Inc. Class A",EXCLUDE_INACTIVE,CWEN-A,CWEN-A,CLASS_A_CONVERTED_INTO_EXISTING_CLASS_C_ROW,2026-05-01,https://www.sec.gov/Archives/edgar/data/1567683/000110465926053557/tm2613249d1_8k.htm,,"Each Class A share converted one-for-one into Class C on 1 May 2026. The frozen universe already contains the separate active Class C row WS:US:CWEN, so the retired Class A row is inactivated rather than remapped onto a duplicate provider symbol."
WS:US:IESC,IES Holdings,KEEP_ACTIVE_REFRESH,IESC,IESC,CURRENT_LISTING_PROVIDER_REFRESH_REQUIRED,2026-08-24,https://www.sec.gov/Archives/edgar/data/1048268/000104826826000131/iesc-20260731.htm,https://finance.yahoo.com/quote/IESC/,IESC remains current. IES announced a 2-for-1 split with distribution after trading on 21 Aug 2026; refresh stale cache rather than delist/remap.
WS:SRC:ZA_TOP40:3CA42D3A25639D8E,Sasol,REMAP_ACTIVE,SOLBE1.JO,SOL.JO,WRONG_SHARE_CLASS_CORRECTED,2026-08-24,https://www.sasol.com/sites/default/files/2026-02/Interim%20Financial%20Statements%20for%20the%206%20months%20ended%2031%20December%202025.pdf,https://de.finance.yahoo.com/quote/SOL.JO/,Sasol distinguishes JSE ordinary share SOL from separate BEE ordinary share SOLBE1. The Top-40 target is the ordinary SOL share.
